,cpu_requested,cpu_usage,mem_requested,mem_usage,time
1397,6627.3836728,2531.75503825,5021.48727982,2819.19108431,962020395760
1398,6627.0955188,2500.70587398,5019.64363722,2831.96973169,962142896022
1399,6620.7930628,2548.82734575,5011.42603982,2832.98684394,962311983457
1400,6619.4630848,2552.99298418,5011.59250482,2832.57955708,962361992257
1401,6616.8292758,2460.03190014,5010.83396182,2847.27160256,962472122037
1402,6798.7350588,2592.9993458,5215.03851222,2899.47290642,963366086881
1403,6797.0290388,2600.28237676,5216.06655722,2903.28181583,963442407535
1404,6804.2623088,2511.94285186,5221.68355082,2898.46152824,963558355225
1405,6816.3272345,2317.27694729,5371.98978982,2876.27953669,964263974724
1406,6980.4770515,2502.70890822,5496.02629781,2876.66390535,964366693397
1407,6843.7085945,2476.75193797,5298.68114122,2766.69690984,964628503795
1408,6782.3734325,2477.82388116,5257.15298582,2764.60251357,964729471861
1409,6683.9567352,2428.50069608,5078.63465462,2742.60449735,965036712822
1410,6676.4618352,2384.97195855,5064.08501782,2740.4126037,965194177804
1411,6666.4947425,2272.86015437,5028.56950582,2738.64487522,965460361684
1412,6638.0308998,2235.52878569,4990.94838422,2737.8630616,965519907069
1413,6660.6045098,2245.5397483,5019.84885322,2739.92566592,965586543875
1414,6582.4981948,2309.80004118,4946.07132722,2738.20972709,965888591802
1415,6708.0822985,2590.22176203,5004.07727653,2750.99019304,966221637819
1416,6760.6802422,2241.48007864,5049.16932222,2712.22077984,967474481312
1417,6736.8917595,2174.74585284,5039.32404782,2712.40074527,967734316012
1418,6969.6217405,2271.83774953,5090.39031519,2729.38185211,967906362712
1419,6965.3909285,2263.45012892,5087.39043019,2720.87481224,968067461931
1420,6980.5302615,2204.89675181,5116.60162319,2733.6453159,968253674332
1421,6976.4823382,2241.7095869,5113.70222219,2742.50353717,968400848383
1422,6953.0909635,2209.3172097,5082.15616819,2740.25730353,968540184046
1423,6940.9809705,2185.06303078,5073.16626319,2732.62004164,968629785108
1424,6915.2911285,2172.46167136,5068.95958859,2729.43068013,968746974782
1425,6904.9704298,2174.67783448,5060.84312919,2728.37249108,968786586767
1426,7081.6378378,2594.85604186,5136.59421319,2754.56381736,969585804583
1427,6954.9340998,2786.53976433,5259.34250559,2847.94385556,970607204215
1428,6956.5977268,2790.52923643,5259.38614919,2848.33343292,970649546112
1429,6907.6305445,2572.30878799,5172.81719962,2845.09352695,971702892374
1430,6867.6265835,2559.08066222,5153.71599482,2839.9916732,971865830695
1431,6808.6775088,2434.25069232,5092.32507262,2836.61397744,972904554303
1432,6417.5952428,2032.65438986,4803.43759782,2688.98866629,973547282472
1433,6596.1320668,2282.5832511,4900.89162822,2692.79100776,973872192887
1434,6622.3778148,2283.03293687,4935.99885822,2692.82580482,973874801028
1435,6595.7951458,2114.9377445,4952.30389982,2765.13971578,978124996594
1436,7071.8063621,2529.1570449,5243.87763342,2857.53585231,979976280440
1437,6704.5542851,2263.7077698,4921.25273802,2713.32640646,980847724241
1438,6598.0642531,2263.42291342,4845.48969862,2746.74167169,982132237240
1439,6625.1693501,2302.60066913,4874.49791762,2765.77159848,982556365609
1440,6552.4865588,2288.87768556,4833.63019342,2760.48553505,983010387481
1441,6617.7768158,2312.75716395,4869.71740522,2753.61658442,983193031386
1442,6839.1557361,3097.51100037,5196.55765762,3026.86370071,985066306737
1443,6836.3659781,3098.56357021,5194.06848162,3027.7193058,985092747472
1444,6832.2424341,2509.44059136,5190.53945122,3025.50418271,985306367042
1445,6809.1292191,2277.21091277,5177.06896522,2984.76583503,985650771867
1446,6777.1815171,2197.66996568,5156.62728802,2959.62967619,986223507957
1447,6835.0470608,2250.14921735,5235.88748942,2942.32042059,986810119449
1448,6854.9274741,2260.82910803,5251.69070442,2956.49545073,987095963081
1449,6862.6687621,2260.82570895,5255.46587242,2956.20387382,987114969048
1450,6852.2960131,2243.1482101,5213.96131162,2944.17112842,987461560364
1451,6771.2722678,2335.92963255,5148.85212612,2931.18556902,988755654074
1452,6770.4790528,2273.64191567,5148.27224692,2931.05823982,988801219419
1453,6913.2836392,2783.51743665,5241.98346142,2896.56160738,990471802835
1454,7013.6186092,2672.7827939,5305.89544342,2878.31090357,990605160121
1455,7012.8555175,2736.24046455,5305.26159902,2867.00950365,990673498634
1456,6754.1959291,2436.36968934,5045.02319382,2902.73990074,991493666792
1457,6637.3721011,2468.4234435,4941.03603382,2936.23246979,992445775708
1458,6635.2212561,2468.93126977,4939.08261042,2935.82570363,992505416875
1459,6648.6325761,2468.38545662,4949.06425742,2934.44220054,992516791949
1460,6700.7127899,2452.60882351,4974.86727402,2924.7569382,994036207340
1461,6729.2753885,2454.18193661,4994.31905202,2933.58555052,994782902178
1462,6988.8589282,2680.91278484,5302.92797913,2892.80964841,996784098585
1463,6639.6297819,2508.16052819,4934.23929882,2820.21872326,997437943634
1464,6682.5014112,2561.8853008,5009.35976442,2791.19842633,997911633961
1465,7044.2603425,2630.76284032,5175.67127341,2846.77297104,998566650306
1466,7225.7466545,2632.61408051,5377.63480342,2788.05602671,998739967686
1467,7181.9713265,2679.81482273,5355.39316242,2795.04922462,998810002479
1468,6847.5162225,2781.89269311,5171.33507942,2931.70426842,999279290722
1469,6814.6657905,2741.20667183,5137.23348222,2910.53767072,999467108490
1470,6716.4362745,2808.5171642,5017.10276722,2903.96827845,1000101041372
1471,6718.4456225,2824.18022289,5017.08945882,2915.14888834,1000166625352
1472,6703.6902785,2719.45718172,5010.06866722,2847.95009499,1000203011577
1473,6680.4469522,2783.87315423,4994.09279862,2901.90278301,1000466559391
